,space,approx
1.1,2,5.142615322033725
1.2000000000000002,2,5.142615322033725
1.3,2,5.142615322033725
1.4000000000000001,3,5.045335408440713
1.5,3,3.3731275445855387
1.6,4,2.5715969428874828
1.7000000000000002,4,2.3407194829989164
1.8,4,2.209208930097187
1.9,4,2.1375077579802477
2.0,4,2.0709889436880777
3.0,7,1.1771334212284532
4.0,8,1.071196935002076
5.0,11,1.030895103333176
6.0,13,1.0127968949937367
7.0,15,1.0067057065419662
8.0,16,1.0038339904433926
9.0,19,1.000480854243641
10.0,21,0.9997257910015056
11.0,23,0.9992983828046509
12.0,24,0.999306098167287
13.0,26,0.9989305739586632
14.0,28,0.9990707433520686
15.0,30,0.9988325157137458
16.0,31,0.9989239235689433
17.0,34,0.998875726489772
18.0,35,0.9989359455285379
19.0,36,0.9990026839437325
20.0,38,0.9990794809526184
21.0,42,0.9990618220475925
22.0,44,0.9990915535867027
23.0,45,0.9991250548533572
24.0,46,0.9991580608742988
25.0,47,0.9991869778262178
26.0,49,0.9992183431987351
27.0,50,0.9992698043785238
28.0,55,0.9992798501781742
29.0,57,0.9994056177465908
30.0,59,0.9994147076901214
31.0,60,0.999436758597265
32.0,61,0.9994635661677066
33.0,63,0.9994912902317991
34.0,65,0.9995126960150672
35.0,66,0.9995371978884168
36.0,67,0.9995587453946181
37.0,69,0.9995809995767146
38.0,71,0.9995999436670673
39.0,71,0.9996207517687573
40.0,73,0.9996300340297144
41.0,75,0.9996284881952264
42.0,78,0.9996230328777438
43.0,81,0.9996177276274689
44.0,82,0.999617365931331
45.0,84,0.9996264313606793
46.0,87,0.9996253666079056
47.0,89,0.9996325032372423
48.0,91,0.999634301283063
49.0,93,0.9996428728440704
50.0,95,0.9996501214834508
51.0,97,0.9996537691359367
52.0,98,0.9996643712695578
53.0,100,0.9996725168832803
54.0,102,0.9996811943952316
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
