,space,approx
1.1,2.0,3.1915714652649547
1.2000000000000002,4.0,2.392314345098661
1.3,4.0,1.7231285337307491
1.4,4.0,1.6188746801328402
1.5,4.0,1.5532430449319805
1.6,5.0,1.4052567410375525
1.7000000000000002,6.0,1.2647233299282117
1.8,6.0,1.19973754103003
1.9,6.0,1.194109472779301
2.0,7.0,1.151751018094023
3.0,9.0,1.0369926013713828
4.0,13.0,1.0171681266664483
5.0,15.0,1.0069849589150002
6.0,18.0,1.0035981814677406
7.0,20.0,1.001453165582668
8.0,23.0,1.0007171183477883
9.0,26.0,0.9993341278969006
10.0,28.0,0.9990133116723496
11.0,28.0,0.9990082681434596
12.0,31.0,0.9988751351772226
13.0,34.0,0.9991062734867
14.0,36.0,0.998999133918311
15.0,36.0,0.9990310228414976
16.0,39.0,0.9989798412154732
17.0,41.0,0.999021578279998
18.0,43.0,0.998991641631688
19.0,43.0,0.999025882550938
20.0,46.0,0.9990052351670238
21.0,48.0,0.999039372119503
22.0,50.0,0.9990267502757758
23.0,50.0,0.9990591800616104
24.0,53.0,0.9990739667382454
25.0,55.0,0.9991327385830432
26.0,57.0,0.9991555461896312
27.0,57.0,0.99920743663896
28.0,60.0,0.9992453078451348
29.0,62.0,0.999340657216583
30.0,64.0,0.9993287222377382
31.0,64.0,0.9993379395846772
32.0,66.0,0.999342445766174
33.0,68.0,0.9993659997850164
34.0,70.0,0.9993741138842204
35.0,70.0,0.9993948500988744
36.0,72.0,0.9994018963744896
37.0,74.0,0.9994206010868156
38.0,76.0,0.9994276080037114
39.0,76.0,0.9994445866524044
40.0,78.0,0.9994504418588626
41.0,80.0,0.9994662327281556
42.0,82.0,0.9994726343861284
43.0,82.0,0.9994869764392252
44.0,84.0,0.9994930585695968
45.0,86.0,0.9995062169542164
46.0,88.0,0.9995122178768022
47.0,88.0,0.9995248767450172
48.0,90.0,0.9995309723131068
49.0,92.0,0.9995428791348756
50.0,94.0,0.9995488175805484
51.0,94.0,0.9995603784581608
52.0,96.0,0.9995671271923506
53.0,98.0,0.999578053196708
54.0,100.0,0.9995842423340376
55.0,100.0,0.9995956448323255
56.0,102.0,0.9996038470395262
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
