,space,approx
1.1,2,15.462269699163093
1.2000000000000002,4,15.853325055153384
1.3,4,8.142709403482835
1.4000000000000001,4,6.129244833230834
1.5,4,4.967089556105112
1.6,5,4.000590963244095
1.7000000000000002,6,2.977219003853702
1.8,6,2.413769544257816
1.9,6,2.1310868881075673
2.0,6,2.0315669341155647
3.0,10,1.196395718707003
4.0,14,1.076162151983659
5.0,17,1.0334311761273107
6.0,20,1.0177428008071203
7.0,23,1.0102389858527356
8.0,26,1.0068810637896148
9.0,31,1.0027635299762347
10.0,33,1.002075322519251
11.0,36,1.00107643433301
12.0,39,1.0005679146917268
13.0,42,1.0002802690039545
14.0,46,0.9997148511850122
15.0,47,0.999651266789889
16.0,51,0.999620143137371
17.0,54,0.9998066674090623
18.0,57,0.9997881037488076
19.0,58,0.9997557768341482
20.0,61,0.9996441353913105
21.0,65,0.9995451843725729
22.0,69,0.9994323924205849
23.0,71,0.9993494506768853
24.0,74,0.9993170313848536
25.0,77,0.9992960082268911
26.0,81,0.9992537099447715
27.0,82,0.9992612323429941
28.0,86,0.9992765185758111
29.0,89,0.9992844706919612
30.0,92,0.9993039098850831
31.0,93,0.9993216462777912
32.0,97,0.9993405990164109
33.0,100,0.9993626543544166
34.0,103,0.999386721486049
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
